传感器引线,包含,措施
地点导通,包含,要求
非全相保护继电器,包含,警示标志
蓄电池室窗户,包含,防止阳光直射措施
钢管构架,包含,排水孔
储油柜、套管、升高座、有载开关、端子箱等,包含,接地
组件柜汇控柜以及每智能电子设备IED,包含,铭牌
人强油循环风冷变压器冷却装置,包含,变电站
高频阻波器启动投运验收内容,包含,测温
串联补偿装置启动验收内容,包含,试验
小室、电极电极、以及触发,包含,损伤
导电杆和连接件紧固螺栓或,包含,措施
干式电抗器启动验收内容,包含,测量
电压互感器启动验收内容,包含,油位
装置位置熔断器、断路器,包含,触点
组合电器中间验收项目,包含,核对
消弧线圈启动验收内容,包含,声音
套管倾斜度和安装角度,包含,一致
储能电机应储能整定值,包含,要求
压力二次回路绝缘电阻,包含,现象
温度附着脏污或绝缘件,包含,异味
设施，如开关、应急灯,包含,标志
变压器附件和资料包装,包含,措施
变电站辅助设施验收,包含,环节
断路器启动验收内容,包含,项目
变压器启动验收内容,包含,测温
变压器中间验收项目,包含,安装
避雷器启动验收内容,包含,测温
精益化管理评价范围,包含,评价
站用变启动验收内容,包含,测温
电抗器中间验收项目,包含,验收
层目测绝缘层层绝缘,包含,附着性
安装开关柜接地母线,包含,连接点
管形母线处、球底部,包含,排水孔
安装接地母线截面积,包含,要求
电容电流测试仪信号,包含,功能
高压开关柜机械联锁,包含,强度
验收审查、竣工预,包含,环节
真空机组真空泵油,包含,麦氏真空计
真空滤油机电源端,包含,漏电保安器
所有端子及紧固件,包含,接触面
安装围栏底部基础,包含,排水孔
一次导线测量时间,包含,测量
工作专人检修项目,包含,项目
端子操作内部引线,包含,扭断
开关柜其配断路器,包含,报告
损失母线短路通流,包含,要求
高压熔断器验收,包含,环节
二次电缆保护管,包含,排水孔
设备区视频探头,包含,功能
根不符合要求的,包含,要求
金属件尺寸偏差,包含,要求
传感器安装角度,包含,积水
电阻片内部隐患,包含,缺陷
传感器安装部位,包含,现象
电容器所有接缝,包含,使用
二次铠装电缆芯,包含,编号
气体继电器内部,包含,气体
电压互感器构架,包含,连接
专人吸湿器滑落,包含,损坏
室外电缆终端头,包含,挂物
蓄电池柜体结构,包含,散热
照明设施配置,包含,事故应急照明
接地装置验收,包含,环节
启动验收内容,包含,项目
出厂验收内容,包含,结果
工程验收项目,包含,检查
中间验收项目,包含,核对
竣工验收内容,包含,检查
部件其他部件,包含,更换
启动验收内容,包含,检查
系统验收内容,包含,检查
滤油机电源端,包含,漏电保安器
卷扬机电源端,包含,漏电保安器
充氮机电源端,包含,漏电保安器
补油机电源端,包含,漏电保安器
砂轮机电源端,包含,漏电保安器
电焊机电源端,包含,漏电保安器
压接机电源端,包含,漏电保安器
切割机电源端,包含,漏电保安器
仪器仪表校验,包含,仪器仪表
操作位置阀门,包含,现象
变电运维班站,包含,备件
连接导线接触,包含,电阻
其每跳闸回路,包含,供电
放电计数器短,包含,方式
外壳单相两级,包含,插头
室进、排风口,包含,措施
屏柜基础型钢,包含,接地
继电器接线盒,包含,措施
场所安装喷头,包含,措施
室外电缆终端,包含,措施
管道、阀门、,包含,渗漏
绝缘子验收,包含,环节
罐式、瓷柱,包含,方式
验收竣工预,包含,环节
项目支柱式,包含,验收
“电容型”,包含,套管
烘箱电源端,包含,漏电保安器
有源电源端,包含,漏电保安器
气泵电源端,包含,漏电保安器
台钻电源端,包含,漏电保安器
压床电源端,包含,漏电保安器
