金属法兰,注意现象,铸造砂眼
金属法兰,注意现象,锈蚀
金属法兰,注意现象,外伤
引线端子板,注意现象,变形
引线端子板,注意现象,开裂
轴、销、锁扣和机械,注意现象,变形
变压器,注意现象,异常声响
放电量趋势,注意现象,平稳
套管接线端子等连接部位表面,注意现象,氧化
瓷件表面,注意现象,气泡
法兰,注意现象,渗漏油现象
阻尼电阻各部位,注意现象,发热
避雷器绝缘表面,注意现象,凝露
增爬裙,注意现象,变形
引线,注意现象,断股
焊接接头,注意现象,裂纹
瓷套,注意现象,损伤
胶装,注意现象,损伤
雨淋阀、喷雾头、管件、管网及,注意现象,渗漏
管道、管件、压力表、过滤器、,注意现象,腐蚀
机构二次接线二次电缆绝缘层,注意现象,变色
电容式电压互感器次电压包括,注意现象,波动
各绝缘件、木制件、线圈、,注意现象,损坏
监测装置二次端子、螺丝、,注意现象,补齐
分闸控制阀活塞、阀杆、,注意现象,划痕
端子箱及检修电源箱基础,注意现象,倾斜
铭牌编号继电器应校验,注意现象,锈蚀
底座倾斜涂漆层大面积,注意现象,锈蚀
类型特性曲线或制造厂,注意现象,差别
支柱绝缘子上、下端面,注意现象,水平
熔断件值载熔件熔断件,注意现象,击穿
沟、隧道、夹层、电缆,注意现象,积水
天气检查高压熔断器是,注意现象,凝露
气体电流互感器各部位,注意现象,现象
干式电流互感器各部位,注意现象,现象
冷凝型驱潮装置排水管,注意现象,堵塞
吸湿器吸湿剂变色部分,注意现象,空隙
开关柜压力释放装置,注意现象,障碍物
爬裙放电计数器校验,注意现象,现象
传动连杆及其它外露,注意现象,紧固
晶闸管阀水冷管路等,注意现象,现象
高频阻波器表面涂层,注意现象,破损
位置管道绝缘法兰,注意现象,绝缘支架
外绝缘外绝缘爬电,注意现象,要求
单元二次电缆绝缘,注意现象,现象
柜门密封螺丝封堵,注意现象,异常
耦合电容器均压环,注意现象,锈蚀
一次接线端子表面,注意现象,破损
各连接件和插接件,注意现象,情况
氧化物限压器瓷套,注意现象,裂纹
压力开关组件动作,注意现象,变形
芯棒螺丝螺母垫圈,注意现象,滑扣
避雷器连接面涂覆,注意现象,缝隙
电缆和避雷器引线,注意现象,现象
电流互感器各部位,注意现象,现象
干式放电线圈绝缘,注意现象,破损
测温电抗器本体和,注意现象,发热
所有外露金属件,注意现象,防腐蚀层
机构各转动部分,注意现象,润滑脂
室外电缆终端头,注意现象,抛挂物
接触面安装方向,注意现象,紧固
外观瓷套管表面,注意现象,裂纹
外绝缘中部伞裙,注意现象,放电
外观外绝缘部分,注意现象,现象
设备镀锌层色样,注意现象,锈蚀
激光探测器工作,注意现象,异物
母线固定器抱箍,注意现象,痕迹
绝缘子连接部位,注意现象,缺陷
部位明显水蒸汽,注意现象,现象
油位储油柜油位,注意现象,温度
导电臂及导电带,注意现象,断股
保护元件避雷器,注意现象,牢固
相间距离及弧垂,注意现象,标准
绝缘小套管表面,注意现象,破损
保护元件避雷器,注意现象,变形
下方内部液压油,注意现象,油迹
电抗器表面涂层,注意现象,痕迹
台站用变压器侧,注意现象,环路
母线固定器压片,注意现象,裂纹
接线端子排接线,注意现象,异常
片式散热器边缘,注意现象,开裂
元件外壳、漆层,注意现象,渗油
高能氧化锌组件,注意现象,锈蚀
金属件和法兰盘,注意现象,裂纹
高频阻波器表面,注意现象,破损
各类指示灯信号,注意现象,异常
测温部分本体和,注意现象,发热
所有金属件表面,注意现象,锈蚀
法兰及固定螺栓,注意现象,锈蚀
引线接头、电缆,注意现象,迹象
干式电抗器基础,注意现象,倾斜
均压环紧固螺栓,注意现象,松动
二极管、晶闸管,注意现象,击穿
一次接线线夹,注意现象,过渡线夹
箱内二次电缆,注意现象,接线柱
安全运行标志,注意现象,建筑
箱内各零部件,注意现象,松动
瓷套表面油位,注意现象,损伤
表计标志动作,注意现象,正确
损伤、防腐层,注意现象,变形
外壳所有接缝,注意现象,渗油
复合绝缘套管,注意现象,情况
部位油箱底部,注意现象,杂物
设备线夹弧垂,注意现象,扭曲
合闸线圈电阻,注意现象,规定
吸湿剂吸湿剂,注意现象,空隙
底座转动部位,注意现象,卡滞
外表面及法兰,注意现象,裂纹
外壳局部颜色,注意现象,现象
接线端子导电,注意现象,裂纹
绝缘弯曲半径,注意现象,要求
