一次绕组直流电阻测量值,范围,出厂值
加热器与距离,范围,电线
独立避雷针及其接地装置与道路或建筑物出入口距离,范围,3m
模块总数,范围,3块
设备外绝缘与防污闪配置级差,范围,户外设备外绝缘
站用变温度及绕组平均温升,范围,限值
二次绕组直流电阻测量值,范围,出厂值
实测电感值与额定值偏差,范围,±5%
干式铁心电抗器每电抗值,范围,±4%
变压器冷却器运行时间,范围,规定
液压机构次数技术文件,范围,趋势
型号规格、批次差异,范围,平均值
断路器累计开断次数,范围,次数
串联电抗器工作电流,范围,电流
水泵接合器挡口距离,范围,半径
电流互感器卡钳内径,范围,直径
电流宜铁心磁化极性,范围,一致
气体管路接头密封性,范围,匹配
电容器组额定值偏差,范围,±3%
链条葫芦重物重量,范围,起重量
一次绕组二次绕组,范围,出厂值
接线端子截面芯线,范围,接线
工频残压冲击残压,范围,规定
测量绝缘电阻阻值,范围,指数
气动机构打压次数,范围,趋势
液压机构打压次数,范围,要求
气动机构打压次数,范围,要求
位置与电线距离,范围,加热器
吸湿剂潮解变色,范围,空隙
值与标称值偏差,范围,排油
规范电缆芯外露,范围,隐患
表面高度粘高度,范围,缝处
单元额定值偏差,范围,±3%
输入对绝缘电阻,范围,2MΩ
电压额定电流,范围,电流
次数次数厂家,范围,时间
数据其微水量,范围,分析
延时外部故障,范围,时间
开关脱扣电流,范围,装置
次数检修次数,范围,规定
钳头开口直径,范围,直径
分析信号底部,范围,信号
电压电流大小,范围,条件
偏差负载损耗,范围,要求
工频参考电压,范围,电压
电阻片柱电流,范围,泄漏
使用机壳温度,范围,电钻
脉冲分辨时间,范围,μs
高度距地高度,范围,mm
环境相对湿度,范围,SF6气体
温度长时间,范围,合闸
变压器铭牌,范围,运行
电流断路器,范围,能力
发生器内阻,范围,电容
范围站用变,范围,试验
范围变压器,范围,试验
介质电容器,范围,熔丝
绝缘件局部,范围,pC
部件温差,范围,部位
测量电压,范围,电压
导通电阻,范围,变化
相间分闸,范围,要求
主要指标,范围,规定
额定电流,范围,材质
泄漏电流,范围,μA
标志电容,范围,±5%
要求偏差,范围,±5%
变比误差,范围,±0.5%
绝缘电阻,范围,1MΩ
变压器kV端子,范围,pC
应绝缘,范围,电压表
密封件,范围,寿命
值偏差,范围,±5%
值偏差,范围,±2%
真空泵,范围,Pa
身体,范围,底座
负荷,范围,负荷
损耗,范围,dB
kV断路器,范围,3ms
CT二次回路绝缘电阻,范围,1MΩ
110kV高压绕组,范围,100pC
